f_FPro_class,price,price percal,package_weight,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Cholesterol,"Fatty acids, total saturated",label
3,7.79,0.01082681,239.83677,26.6666667,13.3333333,33.83333331,1.66666667,16.6666667,0.1,0.00033333,0.3,0.01666667,8.33333333,0
0,1.69,0.02142344,22.6796,4.34782609,0.0,59.1304348,43.4782609,4.34782609,0.03043478,0.00130435,0.0,0.0,0.0,1
3,2.99,0.00742741,201.28145,10.0,22.0,56.0,16.0,10.0,0.104,0.00216,0.1863,0.0,3.0,0
2,10.99,0.005495,283.495,7.05479815,74.0753805,16.649323633999998,3.52739907,7.05479815,0.07054798,0.00246918,0.2920686441,0.0,12.3458968,1
3,1.99,0.01419041,150.25235,2.0,4.0,14.946666706,8.0,0.66666667,0.00933333,0.0,0.0078000039,0.0,0.66666667,0
2,1.98,0.00176074,198.4465,23.3333333,46.6666667,19.666666706,3.33333333,10.0,0.0,0.0012,0.48,0.0,6.66666667,1
3,5.99,0.00547792,510.291,10.7142857,3.57142857,55.00000000000001,7.14285714,7.14285714,0.0,0.00257143,0.3749999988,0.0,0.0,0
3,1.84,0.00558569,141.7475,12.6760563,9.85915493,17.46478872,0.70422535,0.70422535,0.0915493,0.00076056,0.4933802835999999,0.08098592,4.22535211,0
3,6.99,0.03530303,62.3689,35.2739907,3.52739907,34.92125087,28.2191926,0.0,0.0,0.00388014,1.0455210864,0.07054798,0.0,0
3,5.99,0.00185705,907.184,6.66666667,0.0,94.4,0.0,2.22222222,0.00888889,0.0,0.0,0.0,0.0,0
3,9.99,0.01783929,226.796,3.52739907,24.6917935,8.324661816999999,0.0,3.52739907,0.0070548,0.0,0.444452283,0.0,15.8732958,0
3,2.69,0.00508323,99.22325,6.66666667,33.3333333,34.00000002,43.3333333,6.66666667,0.09,0.00333333,0.046666662,0.01666667,16.6666667,0
3,5.94,0.00194007,612.3492,5.88235294,23.5294118,71.17647064,26.4705882,0.0,0.0,0.00211765,0.4632352935,0.02941177,11.7647059,0
3,6.99,0.0051432,399.72795,8.0,10.0,50.0,14.0,4.0,0.06,0.001,0.441,0.09,7.0,0
0,6.17,0.05788307,85.2753656,14.2857143,8.03571429,0.0,0.0,0.0,0.0,0.00064286,0.1355357133,0.06696429,2.23214286,1
3,3.29,0.00456944,1920.0,0.0,0.0,11.3083333294,9.16666667,0.0,0.0,0.0,0.01,0.0,0.0,0
3,1.77,0.00632143,226.796,5.29109861,4.85017372,14.9914461,13.2277465,0.44092488,0.22928094,0.0,0.0334662005999999,0.01322775,2.6455493,0
0,2.99,0.01120611,453.592,1.17647059,0.0,9.88235297,2.35294118,1.17647059,0.0,0.00082353,0.0,0.0,0.0,1
0,11.49,0.00417219,453.592,21.4285714,53.5714286,17.14285712,3.57142857,10.7142857,0.28571429,0.00392857,0.0,0.0,3.57142857,1
3,2.99,0.00131837,453.592,7.14285714,25.0,60.392857181,0.0,7.14285714,0.37142857,0.00257143,0.147,0.0,3.57142857,0
0,1.79,0.01197491,32.88542,24.2424242,51.5151515,13.484848528,9.09090909,6.06060606,0.07878788,0.00818182,0.0254545452,0.0,7.57575758,1
2,2.47,0.00320993,113.398,14.2857143,64.2857143,12.714285727,3.57142857,7.14285714,0.09285714,0.00385714,0.2094642866999999,0.0,5.35714286,1
3,4.39,0.00530193,270.0,4.0,21.3333333,24.53333336,26.6666667,1.33333333,0.10666667,0.00093333,0.072,0.04666667,14.6666667,0
3,7.29,0.0430558,960.0,0.0,0.0,2.821919256,0.0,0.0,0.0,0.0,1.1111307060000002,0.0,0.0,0
2,6.59,0.00484283,340.194,13.3333333,46.6666667,0.0,0.0,0.0,0.0,0.0,0.756,0.06666667,16.6666667,1
3,6.48,0.01015745,309.00955,6.4516129,7.74193548,36.90322584,0.64516129,1.29032258,0.12580645,0.00069677,0.541935478,0.02580645,2.25806452,0
3,0.99,0.00260142,92.135875,4.34782609,17.3913044,53.206521743,29.3478261,2.17391304,0.0,0.00156522,0.3056521716,0.01630435,8.69565217,0
3,3.49,0.01517391,56.699,10.5821972,17.6369954,29.6301522,35.2739907,1.76369954,0.0,0.0,0.037037686,0.0,2.6455493,0
2,4.97,0.00591667,198.4465,21.1643944,35.2739907,0.0,0.0,0.0,0.0,0.00126986,1.492089804,0.07054798,10.5821972,1
3,5.99,0.02218519,170.097,7.05479815,17.6369954,73.72264064,0.0,0.0,0.09171238,0.0,0.49383587,0.0,3.52739907,0
3,5.0,0.00331837,637.86375,7.87401575,9.4488189,32.04724413,2.36220472,1.57480315,0.15354331,0.00212598,0.3042519648,0.01181102,3.1496063,0
3,2.7,0.00224094,240.97075,3.57142857,28.5714286,78.92857141,35.7142857,3.0,0.0,0.00128571,0.2219642840999999,0.0,21.4285714,0
3,4.39,0.00843368,516.52789,10.0775194,11.627907,35.2713179,6.20155039,1.5503876,0.20155039,0.00209302,0.502325584,0.02713178,4.65116279,0
3,2.99,0.01230474,99.22325,20.4081633,26.5306122,6.12244898,2.04081633,0.0,0.0,0.00220408,1.7430612263999998,0.07142857,8.16326531,0
3,2.19,0.00151281,566.99,8.5106383,3.19148936,34.25531914,2.12765957,2.12765957,0.09574468,0.00276596,0.572553189,0.0,0.0,0
3,5.99,0.01484069,198.4465,15.2542373,13.559322,5.9999999968,5.08474576,0.0,0.01525424,0.00084746,0.6050847495,0.08474576,3.38983051,0
3,2.99,0.00415278,1920.0,0.41666667,0.83333333,4.083333331,5.41666667,0.41666667,0.02083333,0.0,0.0560000028,0.0,0.0,0
3,1.83,0.00258206,453.592,3.125,14.0625,2.8125,1.5625,0.4375,0.08125,0.0,0.3665624999999999,0.0234375,3.90625,0
0,5.99,0.00374375,453.59237,12.3458968,0.88184977,62.787703535000006,1.74606254,3.52739907,0.017637,0.00123459,0.0,0.0,0.0,1
3,3.49,0.00155023,765.4365,3.52941177,16.4705882,34.1176471,27.0588235,1.17647059,0.10588235,0.0,0.0864117667,0.01176471,12.9411765,0
3,6.28,0.00089903,793.786,16.0,32.0,121.04,20.0,4.0,0.104,0.0072,1.9152,0.0,6.0,0
0,2.14,0.00176135,340.194,12.5,1.78571429,82.5,3.57142857,3.57142857,0.0,0.00321429,0.0,0.0,0.0,1
0,3.49,0.01558036,336.0,0.0,6.66666667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1
3,1.99,0.00709043,187.1067,6.66666667,16.6666667,80.66666663000001,23.3333333,3.33333333,0.08666667,0.0024,0.420000003,0.0,3.33333333,0
0,3.99,0.00180956,566.99,11.1111111,4.16666667,52.5,0.0,13.8888889,0.0,0.00305556,0.0,0.0,0.0,1
3,2.68,0.01467153,411.0,0.49382716,1.2345679,8.691358027,6.91358025,0.74074074,0.11234568,0.00017778,0.0334814819,0.0,0.0,0
0,7.96,0.00318875,907.18474,17.4496644,22.147651,0.0,0.0,0.0,0.0,0.00181208,0.042953024,0.06711409,8.72483222,1
3,9.99,0.01998,283.495,21.1643944,8.81849768,1.85188451,0.0,0.88184977,0.03527399,0.0006173,0.488897514,0.05291099,1.76369954,0
3,5.97,0.00353751,652.0385,14.1176471,11.7647059,18.11764703,2.35294118,2.35294118,0.03058824,0.00211765,1.202352942,0.06470588,1.76470588,0
0,17.99,0.09994444,226.796,16.7551456,0.88184977,0.0,0.0,0.0,0.07936648,0.00026456,0.3555618276,0.12786822,0.0,1
3,3.38,0.00655744,212.62125,6.06060606,15.1515152,14.54545456,15.1515152,0.0,0.07878788,0.0,0.25757576,0.04545455,9.09090909,0
3,6.99,0.05825,340.194,19.9885947,3.52739907,4.1858468964,0.0,0.0,0.03057079,0.00211644,0.423287892,0.05878999,1.17579969,0
3,3.49,0.01384945,453.592,8.88888889,6.66666667,57.688888901999995,4.44444444,6.66666667,0.23111111,0.0024,0.497777776,0.0,2.22222222,0
3,4.99,0.00767692,141.7475,0.0,21.1643944,77.60277965000002,17.6369954,3.52739907,0.10582197,0.00141096,0.1742535144,0.0,1.76369954,0
3,5.99,0.0114788,226.796,17.699115,15.9292035,5.221238936799999,0.0,1.7699115,0.08849558,0.00371681,0.2601769884,0.0,4.42477876,0
3,8.98,0.00607483,603.277852,17.8807947,17.8807947,4.370860923,0.0,0.0,0.06887417,0.00119205,0.441059607,0.06291391,7.94701987,0
3,5.29,0.0128871,269.32025,4.46096654,3.71747212,22.498141256,8.55018587,1.11524164,0.03345725,0.00144981,0.28252788,0.0,0.55762082,0
3,4.53,0.00162026,311.8445,34.4827586,27.5862069,76.5517242,89.6551724,13.7931035,0.17931035,0.0062069,0.39655172,0.0,5.17241379,0
2,4.99,0.01975703,198.4465,21.8181818,3.63636364,2.000000002,1.81818182,0.0,0.00909091,0.0,0.769090914,0.05454546,0.90909091,1
3,1.22,0.00936885,150.25235,8.0,1.66666667,10.266666663,8.0,0.56,0.08666667,0.0,0.0623999960999999,0.00666667,1.0,0
3,3.49,0.00253454,226.796,7.14285714,50.0,28.57142856,0.0,7.14285714,0.0,0.00142857,1.0028571461999998,0.0,3.57142857,0
3,3.99,0.00698795,155.92225,25.3521127,11.2676056,34.50704229,9.85915493,11.2676056,0.21126761,0.00380282,0.7278873248,0.02112676,4.22535211,0
3,4.88,0.00226156,839.1452,5.71428571,8.57142857,28.0,1.42857143,1.2,0.37142857,0.00514286,0.4017142868,0.00714286,2.14285714,0
3,2.56,0.00129002,453.592,6.25,9.375,52.5,0.0,0.0,0.0,0.0045,0.675,0.0,0.0,0
0,3.49,0.02359536,56.699,14.3478261,13.0434783,67.8260869,10.3478261,34.7826087,0.22913044,0.02130435,0.06956522,0.0,2.17391304,1
3,3.99,0.01246875,480.0,0.0,0.0,11.375,14.1666667,0.0,0.0,0.0,0.0014374976999999,0.0,0.0,0
3,2.99,0.00727878,249.4756,7.22891566,2.40963855,18.79518072,0.40160643,6.02409639,0.02008032,0.00200803,0.260240967,0.0,0.40160643,0
3,3.38,0.0083269,382.71825,0.0,3.03030303,25.030303016,18.1818182,0.0,0.0,0.0,1.363636368,0.0,0.0,0
0,1.59,0.0106,141.7475,22.928094,1.76369954,0.0,0.0,0.0,0.0,0.0,0.197534352,0.03527399,0.0,1
3,7.96,0.01542753,198.4465,2.0,6.0,28.799999999999997,2.0,6.0,0.052,0.00144,0.6719999999999999,0.0,4.0,0
3,3.79,0.00448249,283.495,8.77192983,5.2631579,55.9649123,1.75438597,1.75438597,0.14035088,0.00350877,0.8105263179999999,0.0,2.63157895,0
3,13.14,0.00605351,1615.9215,6.96517413,3.48258707,14.726368160000002,1.99004975,0.99502488,0.09701493,0.00071642,0.4736318439999999,0.01243781,1.99004975,0
3,1.98,0.002354,450.0,0.0,15.576324,6.5420560729999995,6.2305296,0.0,0.0,0.0,1.1616822394,0.0,3.1152648,0
3,3.64,0.00169315,552.81525,8.33333333,5.55555556,56.38888892,27.7777778,8.33333333,0.36111111,0.01,0.3966666648,0.0,0.0,0
3,7.0,0.01891892,340.0,2.35294118,4.70588235,14.1176471,1.76470588,0.22058824,0.0,0.00079412,0.1486588193999999,0.0,2.35294118,0
3,1.84,0.0014375,226.796,3.52739907,38.8013898,58.20208471000001,0.0,3.52739907,0.0,0.0,0.4000070591999999,0.0,5.29109861,0
3,5.99,0.00328863,300.0,0.0,71.4285714,4.2142857126,0.0,0.0,0.02142857,0.0,0.9282142841,0.03571429,5.35714286,0
0,4.99,0.00562555,249.4756,11.1111111,2.22222222,98.22222228,0.0,11.1111111,0.0,0.00266667,0.0,0.0,0.0,1
2,2.28,0.00492396,99.22325,16.6666667,43.3333333,0.0,0.0,0.0,0.0,0.0012,1.63333333,0.11666667,20.0,1
3,3.99,0.0182205,223.96105,2.66666667,3.55555556,15.15555558,2.22222222,2.66666667,0.02666667,0.00084444,0.2511111085999999,0.0,0.44444444,0
3,0.37,0.00125231,65.20385,10.9375,18.75,79.21875,1.5625,3.125,0.0,0.00421875,1.4175,0.0078125,9.375,0
3,1.87,0.00819408,59.53395,23.3333333,5.0,72.766666706,20.0,6.66666667,0.21666667,0.0024,0.2533333308,0.00833333,0.83333333,0
0,8.16,0.00309091,1360.776,16.7551456,11.464047,0.0,0.0,0.0,0.06878428,0.00126986,0.117286022,0.08377573,3.52739907,1
3,2.98,0.00420466,141.7475,10.7142857,25.0,71.642857126,0.0,14.2857143,0.0,0.00128571,0.3121428604,0.0,1.78571429,0
3,6.99,0.02485333,300.0,0.0,7.8125,3.6875,0.0,0.0,0.015625,0.0,0.6253124999999999,0.0,0.0,0
2,9.54,0.00245375,680.388,35.7142857,50.0,0.0,0.0,0.0,0.0,0.0,1.428571432,0.10714286,14.2857143,1
3,9.99,0.00333515,1292.7372,17.0731707,25.6097561,2.6829268290000003,1.2195122,0.0,0.0,0.00087805,0.5721951201,0.07317073,9.75609756,0
3,9.99,0.00413915,595.3395,4.05405405,20.2702703,37.83783787,37.8378378,1.35135135,0.02702703,0.00283784,0.347837841,0.02702703,8.10810811,0
0,7.99,0.01644062,453.592,16.9642857,4.01785714,0.624999998,0.0,0.0,0.0,0.00098214,0.200892861,0.05803571,1.78571429,1
3,11.0,0.0275,708.7375,8.46575777,0.35273991,4.656166779,3.52739907,0.70547981,0.03668495,0.00025397,0.5580345331,0.08113018,0.0,0
3,4.99,0.00828316,120.485375,10.0,26.6666667,73.66666671,3.33333333,3.33333333,0.18333333,0.00333333,1.26,0.01666667,5.0,0
3,29.99,0.02501713,839.1452,28.5714286,15.7142857,45.51428574799999,20.0,4.28571429,0.11142857,0.00257143,0.2879999976,0.0,7.14285714,0
3,32.28,0.01627565,540.90846,26.6666667,15.5555556,37.333333360000005,2.22222222,17.7777778,0.11111111,0.00222222,0.373333338,0.0,6.66666667,0
3,3.48,0.00339933,184.27175,13.8888889,33.3333333,65.0,22.2222222,8.33333333,0.0,0.002,0.2491666659,0.0,13.8888889,0
3,0.5,0.00184693,53.29706,5.64383852,26.3379131,36.12056652,5.64383852,3.76255901,0.1467398,0.0,1.896329736,0.0094064,4.70319876,0
3,2.29,0.00961636,59.53395,33.3333333,16.6666667,22.99999998,0.0,1.66666667,0.2,0.0025,0.2530000022999999,0.0,5.0,0
3,6.49,0.0028616,907.184,11.5384615,12.1794872,30.00000003,1.92307692,1.92307692,0.16025641,0.00102564,0.4469230752,0.03205128,4.48717949,0
3,19.69,0.00803871,612.3492,28.0,14.0,48.400000000000006,10.0,14.0,0.194,0.002,0.2808,0.06,5.0,0
3,6.98,0.00068392,2721.552,7.5,7.5,91.0,5.0,2.5,0.13,0.0036,1.0735,0.0,2.5,0
